epoch,accuracy,auc,f1_m,loss,recall,specificity,val_accuracy,val_auc,val_f1_m,val_loss,val_recall,val_specificity
13,0.6549999713897705,0.7200000286102295,0.633369505405426,69.31041320800782,0.6607595086097717,0.5732059478759766,0.7749999761581421,0.9189560413360596,0.8142856359481812,69.09989929199219,0.9230769276618958,0.5190504789352417
14,0.6974999904632568,0.7671413421630859,0.6649414896965027,68.89198005676269,0.6773399114608765,0.593681275844574,0.7749999761581421,0.9271978139877319,0.8142856359481812,68.69906158447266,0.9230769276618958,0.5257548093795776
15,0.7350000143051147,0.7913979291915894,0.7123317718505859,68.48926963806153,0.7236180901527405,0.5974819660186768,0.7749999761581421,0.9285714030265808,0.8142856359481812,68.30001831054688,0.9230769276618958,0.5337485074996948
16,0.7350000143051147,0.8146833181381226,0.7199755907058716,68.07985664367676,0.7216748595237732,0.6315324902534485,0.7749999761581421,0.9368131756782532,0.8142856359481812,67.89967803955078,0.9230769276618958,0.5431150794029236
17,0.7599999904632568,0.8556362390518188,0.7437019944190979,67.66313079833985,0.7436548471450806,0.634848952293396,0.824999988079071,0.9395604133605957,0.8473858833312988,67.50120697021484,0.9615384340286255,0.5613366365432739
18,0.7487499713897705,0.8427588939666748,0.7152143716812134,67.28392921447754,0.7183462381362915,0.6606559157371521,0.8500000238418579,0.942307710647583,0.8597668409347534,67.10743865966796,0.9230769276618958,0.5861026048660278
19,0.7987499833106995,0.8741655349731445,0.7813879251480103,66.8715338897705,0.7835820913314819,0.6862602233886719,0.8500000238418579,0.9464285373687744,0.8597668409347534,66.70982513427734,0.9230769276618958,0.6022112965583801
20,0.7987499833106995,0.8793967366218567,0.7731730937957764,66.48112319946289,0.7728394865989685,0.7055299878120422,0.8500000238418579,0.9478021860122681,0.8597668409347534,66.3136962890625,0.9230769276618958,0.6148393154144287
21,0.7825000286102295,0.8740063905715942,0.7653375267982483,66.11054969787598,0.7440758347511292,0.7092644572257996,0.875,0.9505494832992554,0.8815850019454956,65.9180694580078,0.9615384340286255,0.6227559447288513
22,0.8212500214576721,0.9086116552352905,0.8025984764099121,65.68089500427246,0.8179486989974976,0.7252699136734009,0.8500000238418579,0.9546703100204468,0.8684848546981812,65.53163299560546,0.8846153616905212,0.6522841453552246
23,0.8212500214576721,0.8985990881919861,0.7989790439605713,65.32175453186035,0.799492359161377,0.7262725830078125,0.8500000238418579,0.9574175477027893,0.8684848546981812,65.14232635498047,0.8846153616905212,0.6696257591247559
24,0.8112499713897705,0.9009089469909668,0.7912853956222534,64.94156806945801,0.802955687046051,0.7183282375335693,0.8500000238418579,0.9601648449897766,0.8684848546981812,64.75643005371094,0.8846153616905212,0.6859994530677795
25,0.824999988079071,0.912236750125885,0.7994362115859985,64.5477252960205,0.8137755393981934,0.7540160417556763,0.8500000238418579,0.9601648449897766,0.8684848546981812,64.37681274414062,0.8846153616905212,0.7053820490837097
